epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,213.497,1.82082,2.58364,1.72491,0.49014,0.31158,0.35076,0.1629,2.11486,2.22565,1.93817,0.00066615,0.00066615,0.00066615
2,402.125,1.8624,2.22312,1.77756,0.65677,0.41622,0.47396,0.21539,2.05121,1.9578,1.82303,0.00126684,0.00126684,0.00126684
3,587.395,1.80351,2.09689,1.73375,0.72787,0.44856,0.53695,0.26012,1.9356,1.82737,1.70838,0.00180153,0.00180153,0.00180153
4,770.125,1.7464,1.95983,1.6848,0.68388,0.45326,0.50832,0.24635,1.93345,1.77715,1.78392,0.001703,0.001703,0.001703
5,956.951,1.68621,1.83735,1.64083,0.7837,0.51121,0.61114,0.30406,1.86343,1.61057,1.65816,0.001604,0.001604,0.001604
6,1142.65,1.64042,1.72874,1.59633,0.79703,0.56026,0.66129,0.32358,1.83935,1.48475,1.61819,0.001505,0.001505,0.001505
7,1326.21,1.60418,1.65469,1.57144,0.82088,0.57672,0.68128,0.35097,1.77076,1.39986,1.58794,0.001406,0.001406,0.001406
8,1511.2,1.57932,1.59184,1.54672,0.78674,0.62028,0.68876,0.35376,1.76158,1.36655,1.56901,0.001307,0.001307,0.001307
9,1695.18,1.55442,1.54654,1.52825,0.82208,0.61934,0.71962,0.37068,1.76023,1.29931,1.56042,0.001208,0.001208,0.001208
10,1879.16,1.52056,1.48454,1.50771,0.82878,0.66872,0.7583,0.39581,1.69838,1.21522,1.50756,0.001109,0.001109,0.001109
11,2106.02,1.56636,1.26537,1.53369,0.82795,0.66432,0.75703,0.40515,1.67925,1.18326,1.48832,0.00101,0.00101,0.00101
12,2293.05,1.53128,1.1862,1.50548,0.83628,0.68313,0.7762,0.42247,1.64139,1.11932,1.46569,0.000911,0.000911,0.000911
13,2476.64,1.49571,1.11663,1.47495,0.85235,0.70251,0.8005,0.43104,1.64286,1.08691,1.46703,0.000812,0.000812,0.000812
14,2657.73,1.46008,1.05982,1.44262,0.86907,0.69071,0.80483,0.44329,1.59763,1.03586,1.4314,0.000713,0.000713,0.000713
15,2837.58,1.43248,1.01317,1.42238,0.88265,0.71487,0.81819,0.44942,1.58393,1.00917,1.40947,0.000614,0.000614,0.000614
16,3018.28,1.40369,0.96045,1.39685,0.88526,0.73481,0.83475,0.4609,1.57631,0.98966,1.40389,0.000515,0.000515,0.000515
17,3199.61,1.37237,0.91299,1.37407,0.87232,0.74721,0.83351,0.47024,1.56288,0.96347,1.40039,0.000416,0.000416,0.000416
18,3381.03,1.34842,0.8753,1.35723,0.88373,0.75779,0.84535,0.47827,1.54563,0.93863,1.39001,0.000317,0.000317,0.000317
19,3561.93,1.32023,0.83538,1.33347,0.88854,0.75456,0.84712,0.48691,1.52579,0.9179,1.37565,0.000218,0.000218,0.000218
20,3742.73,1.29372,0.81159,1.31798,0.90002,0.76955,0.85112,0.4908,1.51548,0.9063,1.36516,0.000119,0.000119,0.000119
