epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1101,0.90488,1.5101,1.39532,1.07616,0.96443,0.90573,0.9602,0.77668,0.95205,0.8879,0.92846,0.7706,0.70921,0.56611,0.92261,0.91973,0.000660606,0.000660606,0.000660606
2,55.6979,0.8183,0.90286,0.87882,1.01061,0.95758,0.9203,0.95214,0.7886,0.97351,0.88963,0.92732,0.74859,0.73953,0.72354,0.71134,0.93211,0.00131413,0.00131413,0.00131413
3,80.913,0.81379,0.99127,0.79352,1.01345,0.91743,0.90064,0.93491,0.76927,0.93501,0.84586,0.87952,0.69859,0.77024,0.8827,0.67665,0.96465,0.00195446,0.00195446,0.00195446
4,105.765,0.77378,0.90269,0.69645,0.99384,0.93685,0.90701,0.94803,0.75055,0.92859,0.89449,0.92014,0.72586,0.7275,0.63429,0.78926,0.9433,0.0019406,0.0019406,0.0019406
5,130.78,0.74388,0.84211,0.64512,0.98396,0.94145,0.8879,0.93419,0.77747,0.9426,0.8828,0.91325,0.77139,0.65845,0.5803,0.61016,0.92092,0.0019208,0.0019208,0.0019208
6,155.54,0.7362,0.81919,0.61804,0.98329,0.96128,0.93758,0.97441,0.83153,0.9624,0.91285,0.94719,0.79843,0.58673,0.56288,0.48903,0.88146,0.001901,0.001901,0.001901
7,180.533,0.7109,0.78925,0.58511,0.97873,0.96359,0.90701,0.96767,0.83584,0.94289,0.88339,0.92449,0.77482,0.58013,0.60555,0.52354,0.89004,0.0018812,0.0018812,0.0018812
8,205.067,0.68725,0.74374,0.57159,0.96986,0.96175,0.94904,0.97752,0.8445,0.96718,0.93866,0.9697,0.85786,0.55121,0.39079,0.44161,0.87076,0.0018614,0.0018614,0.0018614
9,229.683,0.66111,0.71822,0.54771,0.95727,0.96199,0.92611,0.97171,0.82928,0.97389,0.90268,0.95099,0.81646,0.58766,0.47556,0.4696,0.88603,0.0018416,0.0018416,0.0018416
10,254.527,0.66649,0.6955,0.53537,0.95169,0.96659,0.94013,0.9804,0.85722,0.98516,0.9172,0.96316,0.84655,0.53869,0.38963,0.41407,0.85781,0.0018218,0.0018218,0.0018218
11,279.561,0.6371,0.69766,0.52261,0.95232,0.97499,0.91847,0.97415,0.8581,0.97364,0.9172,0.96162,0.83375,0.54309,0.39403,0.42512,0.85827,0.001802,0.001802,0.001802
12,304.81,0.6321,0.66861,0.50683,0.94682,0.97873,0.94904,0.98076,0.85246,0.98398,0.9414,0.96929,0.86892,0.52785,0.37516,0.41801,0.84823,0.0017822,0.0017822,0.0017822
13,329.83,0.61724,0.70572,0.49859,0.94597,0.97026,0.94904,0.98127,0.85473,0.96631,0.94013,0.96547,0.83133,0.5202,0.41267,0.5164,0.86267,0.0017624,0.0017624,0.0017624
14,354.513,0.59997,0.63949,0.48105,0.93468,0.9754,0.9598,0.98135,0.87698,0.96505,0.94961,0.96211,0.86303,0.46682,0.41751,0.36147,0.82727,0.0017426,0.0017426,0.0017426
15,379.25,0.60508,0.65186,0.47789,0.93613,0.97023,0.96433,0.98544,0.88351,0.98158,0.94013,0.96983,0.87379,0.47393,0.36601,0.35414,0.82693,0.0017228,0.0017228,0.0017228
16,404.098,0.58121,0.63955,0.4668,0.93149,0.98452,0.95159,0.98614,0.87774,0.97234,0.94032,0.96293,0.87186,0.46958,0.35108,0.34367,0.83683,0.001703,0.001703,0.001703
17,428.874,0.599,0.66796,0.47478,0.93506,0.99078,0.95869,0.98461,0.88173,0.98329,0.94395,0.97357,0.88097,0.46703,0.36077,0.34329,0.82456,0.0016832,0.0016832,0.0016832
18,453.341,0.57988,0.59514,0.44479,0.92665,0.96538,0.95899,0.9826,0.89288,0.97788,0.9465,0.97268,0.88547,0.44516,0.34091,0.33317,0.82302,0.0016634,0.0016634,0.0016634
19,477.984,0.58261,0.60836,0.44855,0.93261,0.97773,0.95079,0.98143,0.87795,0.97124,0.9414,0.96994,0.86109,0.46181,0.35235,0.45421,0.83846,0.0016436,0.0016436,0.0016436
20,502.57,0.57266,0.57731,0.44427,0.92503,0.98666,0.94209,0.98319,0.89938,0.98131,0.93634,0.97356,0.88383,0.43807,0.31804,0.33586,0.82375,0.0016238,0.0016238,0.0016238
21,527.445,0.56607,0.59158,0.44052,0.92693,0.98181,0.9627,0.98519,0.87478,0.97791,0.95888,0.97355,0.85688,0.47922,0.34121,0.33597,0.83334,0.001604,0.001604,0.001604
22,552.15,0.55244,0.5727,0.42509,0.91764,0.97216,0.95287,0.98537,0.88053,0.97086,0.95159,0.98059,0.88477,0.45964,0.31802,0.35004,0.83167,0.0015842,0.0015842,0.0015842
23,576.956,0.5461,0.58997,0.42242,0.92035,0.98297,0.96178,0.98765,0.89502,0.97911,0.95511,0.97743,0.88134,0.45913,0.31612,0.33021,0.81808,0.0015644,0.0015644,0.0015644
24,601.85,0.56163,0.59418,0.43599,0.92724,0.9872,0.95669,0.98443,0.88773,0.9823,0.95414,0.97313,0.88271,0.45997,0.32722,0.32997,0.826,0.0015446,0.0015446,0.0015446
25,627.065,0.53964,0.58939,0.42017,0.91313,0.98151,0.95924,0.98603,0.8832,0.98288,0.95159,0.97253,0.87336,0.46891,0.36022,0.33539,0.82631,0.0015248,0.0015248,0.0015248
26,651.868,0.54445,0.57821,0.4176,0.91759,0.9792,0.95949,0.98669,0.88206,0.97268,0.9523,0.97199,0.8732,0.48445,0.33705,0.34066,0.84094,0.001505,0.001505,0.001505
27,676.394,0.53814,0.57341,0.41759,0.91284,0.98058,0.96433,0.98641,0.89309,0.97393,0.95669,0.97453,0.86994,0.44869,0.36485,0.3222,0.82534,0.0014852,0.0014852,0.0014852
28,700.921,0.53293,0.54992,0.40929,0.90926,0.98947,0.95768,0.98876,0.8999,0.98815,0.95641,0.97581,0.88807,0.43833,0.3203,0.30318,0.81342,0.0014654,0.0014654,0.0014654
29,725.836,0.52567,0.54969,0.40896,0.91193,0.98208,0.96815,0.99068,0.90379,0.98288,0.96306,0.98184,0.88286,0.41306,0.3006,0.30484,0.8079,0.0014456,0.0014456,0.0014456
30,750.481,0.53074,0.56258,0.40794,0.91447,0.98951,0.96119,0.9889,0.91717,0.98687,0.95734,0.98022,0.90126,0.40248,0.3013,0.29586,0.8066,0.0014258,0.0014258,0.0014258
31,775.61,0.52306,0.52013,0.40176,0.90914,0.9866,0.96433,0.99213,0.91082,0.99187,0.95669,0.97938,0.89029,0.4108,0.29855,0.30293,0.81001,0.001406,0.001406,0.001406
32,800.126,0.52776,0.54727,0.41198,0.91318,0.98768,0.97197,0.98974,0.91038,0.98241,0.96433,0.9795,0.89837,0.41887,0.29973,0.2978,0.81368,0.0013862,0.0013862,0.0013862
33,824.932,0.5193,0.53084,0.39564,0.91479,0.97561,0.96807,0.99123,0.90581,0.97803,0.96415,0.98013,0.88036,0.42339,0.32366,0.30161,0.81259,0.0013664,0.0013664,0.0013664
